Open,Close,High,Low,Price,Change%,Date_Gregorian,Date_Persian
"285,854","285,854","285,854","285,854",44,0.02%,2022/12/18,1401/09/27
"285,898","285,898","285,898","285,898",373,0.13%,2022/12/17,1401/09/26
"286,271","286,271","286,271","286,271",294,0.1%,2022/12/16,1401/09/25
"284,772","284,772","286,565","286,565",1793,0.63%,2022/12/13,1401/09/22
"286,676","286,676","286,676","286,676",933,0.33%,2022/12/12,1401/09/21
"285,743","285,743","285,743","285,743",2950,1.04%,2022/12/11,1401/09/20
"282,793","282,793","282,793","282,793",3181,1.14%,2022/12/10,1401/09/19
"281,196","279,612","281,196","279,612",43,0.02%,2022/12/09,1401/09/18
"279,655","279,655","279,655","279,655",315,0.11%,2022/12/06,1401/09/15
"279,970","279,970","279,970","279,970",2958,1.07%,2022/12/05,1401/09/14
"277,012","277,012","277,012","277,012",720,0.26%,2022/12/02,1401/09/11
"277,732","277,732","277,732","277,732",248,0.09%,2022/11/30,1401/09/09
"277,484","277,484","277,484","277,484",248,0.09%,2022/11/29,1401/09/08
"277,236","277,236","277,236","277,236",1,-,2022/11/28,1401/09/07
"277,237","277,237","277,237","277,237",328,0.12%,2022/11/27,1401/09/06
"276,909","276,909","276,909","276,909",28,0.01%,2022/11/26,1401/09/05
"277,060","277,060","277,060","277,060",492,0.18%,2022/11/23,1401/09/02
"276,568","276,568","276,568","276,568",263,0.1%,2022/11/22,1401/09/01
"276,831","276,831","276,831","276,831",50,0.02%,2022/11/21,1401/08/30
"276,781","276,781","276,781","276,781",229,0.08%,2022/11/20,1401/08/29
"276,552","276,552","276,552","276,552",1323,0.48%,2022/11/19,1401/08/28
"275,229","275,229","276,552","276,552",743,0.27%,2022/11/18,1401/08/27
"275,809","275,809","275,809","275,809",704,0.26%,2022/11/16,1401/08/25
"276,513","276,513","276,513","276,513",716,0.26%,2022/11/15,1401/08/24
"275,797","275,797","275,797","275,797",117,0.04%,2022/11/14,1401/08/23
"275,914","275,914","275,914","275,914",673,0.24%,2022/11/13,1401/08/22
"275,241","275,241","275,241","275,241",1202,0.44%,2022/11/12,1401/08/21
"274,039","274,039","274,039","274,039",765,0.28%,2022/11/11,1401/08/20
"274,804","274,804","274,804","274,804",413,0.15%,2022/11/09,1401/08/18
"274,391","274,391","274,391","274,391",78,0.03%,2022/11/08,1401/08/17
"274,313","274,313","274,313","274,313",403,0.15%,2022/11/07,1401/08/16
"273,910","273,910","273,910","273,910",1950,0.72%,2022/11/06,1401/08/15
"271,960","271,960","271,960","271,960",445,0.16%,2022/11/05,1401/08/14
"271,515","271,515","271,515","271,515",413,0.15%,2022/11/04,1401/08/13
"271,928","271,928","271,928","271,928",2,-,2022/11/02,1401/08/11
"271,926","271,926","271,926","271,926",299,0.11%,2022/11/01,1401/08/10
"271,627","271,627","271,627","271,627",9,-,2022/10/31,1401/08/09
"271,618","271,618","271,618","271,618",425,0.16%,2022/10/30,1401/08/08
"272,043","272,043","272,043","272,043",929,0.34%,2022/10/29,1401/08/07
"271,114","271,114","271,114","271,114",3,-,2022/10/28,1401/08/06
"271,117","271,117","271,117","271,117",577,0.21%,2022/10/26,1401/08/04
"271,694","271,694","271,694","271,694",906,0.33%,2022/10/25,1401/08/03
"270,788","270,788","270,788","270,788",834,0.31%,2022/10/24,1401/08/02
"271,622","271,622","271,622","271,622",1539,0.57%,2022/10/23,1401/08/01
"270,083","270,083","270,083","270,083",119,0.04%,2022/10/22,1401/07/30
"270,202","270,202","270,202","270,202",124,0.05%,2022/10/21,1401/07/29
"270,078","270,078","270,078","270,078",667,0.25%,2022/10/19,1401/07/27
"270,745","270,745","270,745","270,745",774,0.29%,2022/10/18,1401/07/26
"269,971","269,971","269,971","269,971",383,0.14%,2022/10/17,1401/07/25
"270,354","270,354","270,354","270,354",264,0.1%,2022/10/16,1401/07/24
"270,618","270,618","270,618","270,618",637,0.24%,2022/10/15,1401/07/23
"271,255","271,255","271,255","271,255",1079,0.4%,2022/10/14,1401/07/22
"270,176","270,176","270,176","270,176",501,0.19%,2022/10/11,1401/07/19
"269,675","269,675","269,675","269,675",834,0.31%,2022/10/10,1401/07/18
"270,509","270,509","270,509","270,509",884,0.33%,2022/10/09,1401/07/17
"269,625","269,625","269,625","269,625",469,0.17%,2022/10/08,1401/07/16
"269,156","269,156","269,156","269,156",957,0.36%,2022/10/07,1401/07/15
"270,113","270,113","270,113","270,113",323,0.12%,2022/10/05,1401/07/13
"269,790","269,790","269,790","269,790",1014,0.38%,2022/10/03,1401/07/11
"268,776","268,776","268,776","268,776",848,0.32%,2022/10/02,1401/07/10
"267,928","267,928","267,928","267,928",85,0.03%,2022/10/01,1401/07/09
"268,013","268,013","268,013","268,013",313,0.12%,2022/09/30,1401/07/08
"267,700","267,700","267,700","267,700",196,0.07%,2022/09/28,1401/07/06
"267,896","267,896","267,896","267,896",141,0.05%,2022/09/27,1401/07/05
"268,037","268,037","268,037","268,037",279,0.1%,2022/09/25,1401/07/03
"268,316","268,316","268,316","268,316",240,0.09%,2022/09/23,1401/07/01
"268,076","268,076","268,076","268,076",520,0.19%,2022/09/21,1401/06/30
"268,596","268,596","268,596","268,596",74,0.03%,2022/09/20,1401/06/29
"268,670","268,670","268,670","268,670",771,0.29%,2022/09/19,1401/06/28
"267,899","267,899","267,899","267,899",305,0.11%,2022/09/18,1401/06/27
"267,594","267,594","267,594","267,594",33,0.01%,2022/09/17,1401/06/26
"267,561","267,561","267,561","267,561",701,0.26%,2022/09/14,1401/06/23
"268,262","268,262","268,262","268,262",944,0.35%,2022/09/13,1401/06/22
"267,318","267,318","267,318","267,318",958,0.36%,2022/09/12,1401/06/21
"268,276","268,276","268,276","268,276",1211,0.45%,2022/09/11,1401/06/20
"267,065","267,065","267,065","267,065",655,0.25%,2022/09/10,1401/06/19
"266,410","266,410","266,410","266,410",178,0.07%,2022/09/09,1401/06/18
"266,588","266,588","266,588","266,588",185,0.07%,2022/09/07,1401/06/16
"266,403","266,403","266,403","266,403",147,0.06%,2022/09/06,1401/06/15
"266,256","266,256","266,256","266,256",55,0.02%,2022/09/05,1401/06/14
"266,201","266,201","266,201","266,201",812,0.31%,2022/09/04,1401/06/13
"265,389","265,389","265,389","265,389",244,0.09%,2022/09/03,1401/06/12
"265,145","265,145","265,145","265,145",140,0.05%,2022/09/02,1401/06/11
"265,005","265,005","265,005","265,005",204,0.08%,2022/08/31,1401/06/09
"264,801","264,801","264,801","264,801",143,0.05%,2022/08/30,1401/06/08
"264,658","264,658","264,658","264,658",106,0.04%,2022/08/29,1401/06/07
"264,552","264,552","264,552","264,552",607,0.23%,2022/08/28,1401/06/06
"263,945","263,945","263,945","263,945",705,0.27%,2022/08/27,1401/06/05
"263,240","263,240","263,240","263,240",370,0.14%,2022/08/26,1401/06/04
"263,610","263,610","263,610","263,610",268,0.1%,2022/08/24,1401/06/02
"263,342","263,342","263,342","263,342",292,0.11%,2022/08/23,1401/06/01
"263,634","263,634","263,634","263,634",87,0.03%,2022/08/22,1401/05/31
"263,547","263,547","263,547","263,547",248,0.09%,2022/08/21,1401/05/30
"263,795","263,795","263,795","263,795",604,0.23%,2022/08/20,1401/05/29
"263,191","263,191","263,191","263,191",7,-,2022/08/19,1401/05/28
"263,184","263,184","263,184","263,184",332,0.13%,2022/08/17,1401/05/26
"262,852","262,852","262,852","262,852",200,0.08%,2022/08/16,1401/05/25
"263,052","263,052","263,052","263,052",62,0.02%,2022/08/15,1401/05/24
"263,114","263,114","263,114","263,114",603,0.23%,2022/08/14,1401/05/23
"263,717","263,717","263,717","263,717",988,0.38%,2022/08/13,1401/05/22
"262,729","262,729","262,729","262,729",537,0.2%,2022/08/12,1401/05/21
"263,266","263,266","263,266","263,266",1464,0.56%,2022/08/10,1401/05/19
"264,730","264,730","264,730","264,730",244,0.09%,2022/08/09,1401/05/18
"264,486","264,486","264,486","264,486",111,0.04%,2022/08/08,1401/05/17
"264,597","264,597","264,597","264,597",397,0.15%,2022/08/05,1401/05/14
"264,200","264,200","264,200","264,200",596,0.23%,2022/08/03,1401/05/12
"263,604","263,604","263,604","263,604",505,0.19%,2022/08/02,1401/05/11
"263,099","263,099","263,099","263,099",636,0.24%,2022/08/01,1401/05/10
"263,735","263,735","263,735","263,735",1296,0.49%,2022/07/31,1401/05/09
"262,439","262,439","262,439","262,439",364,0.14%,2022/07/30,1401/05/08
"262,803","262,803","262,803","262,803",267,0.1%,2022/07/29,1401/05/07
"263,070","263,070","263,070","263,070",956,0.36%,2022/07/27,1401/05/05
"264,026","264,026","264,026","264,026",1418,0.54%,2022/07/26,1401/05/04
"262,608","262,608","262,608","262,608",460,0.18%,2022/07/25,1401/05/03
"262,148","262,148","262,148","262,148",651,0.25%,2022/07/24,1401/05/02
"261,497","261,497","261,497","261,497",147,0.06%,2022/07/23,1401/05/01
"261,350","261,350","261,350","261,350",542,0.21%,2022/07/22,1401/04/31
"260,808","260,808","260,808","260,808",848,0.33%,2022/07/20,1401/04/29
"259,960","259,960","259,960","259,960",235,0.09%,2022/07/19,1401/04/28
"260,195","260,195","260,195","260,195",559,0.21%,2022/07/18,1401/04/27
"260,754","260,754","260,754","260,754",321,0.12%,2022/07/16,1401/04/25
"261,075","261,075","261,075","261,075",654,0.25%,2022/07/15,1401/04/24
"260,421","260,421","260,421","260,421",111,0.04%,2022/07/13,1401/04/22
"260,310","260,310","260,310","260,310",597,0.23%,2022/07/12,1401/04/21
"259,713","259,713","259,713","259,713",25,0.01%,2022/07/11,1401/04/20
"259,688","259,688","259,688","259,688",193,0.07%,2022/07/10,1401/04/19
"259,495","259,495","259,495","259,495",729,0.28%,2022/07/08,1401/04/17
"258,766","258,766","258,766","258,766",1113,0.43%,2022/07/06,1401/04/15
"257,653","257,653","257,653","257,653",657,0.26%,2022/07/05,1401/04/14
"256,996","256,996","256,996","256,996",756,0.3%,2022/07/04,1401/04/13
"256,240","256,240","256,240","256,240",765,0.3%,2022/07/03,1401/04/12
"255,475","255,475","255,475","255,475",281,0.11%,2022/07/02,1401/04/11
"255,194","255,194","255,194","255,194",939,0.37%,2022/07/01,1401/04/10
"254,255","254,255","254,255","254,255",699,0.28%,2022/06/29,1401/04/08
"253,556","253,556","253,556","253,556",251,0.1%,2022/06/28,1401/04/07
"253,305","253,305","253,305","253,305",439,0.17%,2022/06/27,1401/04/06
"253,744","253,744","253,744","253,744",725,0.29%,2022/06/26,1401/04/05
"253,019","253,019","253,019","253,019",315,0.12%,2022/06/25,1401/04/04
"253,334","253,334","253,334","253,334",818,0.32%,2022/06/24,1401/04/03
"252,516","252,516","252,516","252,516",441,0.17%,2022/06/22,1401/04/01
"252,957","252,957","252,957","252,957",778,0.31%,2022/06/21,1401/03/31
"252,179","252,179","252,179","252,179",393,0.16%,2022/06/20,1401/03/30
"252,572","252,572","252,572","252,572",854,0.34%,2022/06/19,1401/03/29
"251,718","251,718","251,718","251,718",787,0.31%,2022/06/18,1401/03/28
"250,931","250,931","250,931","250,931",1014,0.4%,2022/06/17,1401/03/27
"251,945","251,945","251,945","251,945",1155,0.46%,2022/06/15,1401/03/25
"250,790","250,790","250,790","250,790",169,0.07%,2022/06/14,1401/03/24
"250,621","250,621","250,621","250,621",1262,0.51%,2022/06/13,1401/03/23
"249,359","249,359","249,359","249,359",272,0.11%,2022/06/12,1401/03/22
"249,087","249,087","249,087","249,087",1756,0.71%,2022/06/11,1401/03/21
"247,331","247,331","247,331","247,331",2293,0.94%,2022/06/10,1401/03/20
"245,038","245,038","245,038","245,038",198,0.08%,2022/06/08,1401/03/18
"244,840","244,840","244,840","244,840",858,0.35%,2022/06/07,1401/03/17
"243,982","243,982","243,982","243,982",1263,0.52%,2022/06/06,1401/03/16
"242,719","242,719","242,719","242,719",93,0.04%,2022/06/05,1401/03/15
"242,812","242,812","242,812","242,812",664,0.27%,2022/06/01,1401/03/11
"242,148","242,148","242,148","242,148",833,0.35%,2022/05/31,1401/03/10
"241,315","241,315","241,315","241,315",186,0.08%,2022/05/30,1401/03/09
"241,129","241,129","241,129","241,129",332,0.14%,2022/05/29,1401/03/08
"241,461","241,461","241,461","241,461",541,0.22%,2022/05/28,1401/03/07
"242,002","242,002","242,002","242,002",683,0.28%,2022/05/27,1401/03/06
"242,685","242,685","242,685","242,685",537,0.22%,2022/05/25,1401/03/04
"242,148","242,148","242,148","242,148",1478,0.61%,2022/05/24,1401/03/03
"243,626","243,626","243,626","243,626",1649,0.68%,2022/05/23,1401/03/02
"245,275","245,275","245,275","245,275",1096,0.45%,2022/05/22,1401/03/01
"244,179","244,179","244,179","244,179",1487,0.61%,2022/05/21,1401/02/31
"245,666","245,666","245,666","245,666",1063,0.43%,2022/05/20,1401/02/30
"246,729","246,729","246,729","246,729",1047,0.42%,2022/05/18,1401/02/28
"247,776","247,776","247,776","247,776",997,0.4%,2022/05/17,1401/02/27
"248,773","248,773","248,773","248,773",526,0.21%,2022/05/16,1401/02/26
"249,299","249,299","249,299","249,299",835,0.33%,2022/05/15,1401/02/25
"250,134","250,134","250,134","250,134",232,0.09%,2022/05/14,1401/02/24
"249,902","249,902","249,902","249,902",2949,1.19%,2022/05/13,1401/02/23
"246,953","246,953","246,953","246,953",508,0.21%,2022/05/11,1401/02/21
"247,461","247,461","247,461","247,461",106,0.04%,2022/05/10,1401/02/20
"247,355","247,355","247,355","247,355",343,0.14%,2022/05/09,1401/02/19
"247,012","247,012","247,012","247,012",710,0.29%,2022/05/08,1401/02/18
"247,722","247,722","247,722","247,722",838,0.34%,2022/05/07,1401/02/17
"248,560","248,560","248,560","248,560",298,0.12%,2022/05/06,1401/02/16
"248,858","248,858","248,858","248,858",488,0.2%,2022/05/04,1401/02/14
"248,370","248,370","248,370","248,370",668,0.27%,2022/05/01,1401/02/11
"249,038","249,038","249,038","249,038",202,0.08%,2022/04/30,1401/02/10
"248,836","248,836","248,836","248,836",370,0.15%,2022/04/29,1401/02/09
"248,466","248,466","248,466","248,466",1634,0.66%,2022/04/27,1401/02/07
"246,832","246,832","246,832","246,832",909,0.37%,2022/04/26,1401/02/06
"245,923","245,923","245,923","245,923",1683,0.69%,2022/04/25,1401/02/05
"244,240","244,240","244,240","244,240",10,-,2022/04/24,1401/02/04
"244,250","244,250","244,250","244,250",753,0.31%,2022/04/23,1401/02/03
"243,497","243,497","243,497","243,497",1268,0.52%,2022/04/20,1401/01/31
"244,765","244,765","244,765","244,765",413,0.17%,2022/04/19,1401/01/30
"245,178","245,178","245,178","245,178",1054,0.43%,2022/04/18,1401/01/29
"244,124","244,124","244,124","244,124",256,0.1%,2022/04/17,1401/01/28
"244,380","244,380","244,380","244,380",562,0.23%,2022/04/16,1401/01/27
"244,942","244,942","244,942","244,942",651,0.27%,2022/04/15,1401/01/26
"244,291","244,291","244,291","244,291",1050,0.43%,2022/04/13,1401/01/24
"245,341","245,341","245,341","245,341",1231,0.5%,2022/04/12,1401/01/23
"244,110","244,110","244,110","244,110",15,0.01%,2022/04/11,1401/01/22
"244,095","244,095","244,095","244,095",280,0.11%,2022/04/10,1401/01/21
"244,375","244,375","244,375","244,375",1022,0.42%,2022/04/09,1401/01/20
"245,397","245,397","245,397","245,397",1481,0.61%,2022/04/08,1401/01/19
"243,916","243,916","243,916","243,916",327,0.13%,2022/04/06,1401/01/17
"244,243","244,243","244,243","244,243",2456,1.02%,2022/04/05,1401/01/16
"241,787","241,787","241,787","241,787",1048,0.44%,2022/04/04,1401/01/15
"240,739","240,739","240,739","240,739",1439,0.6%,2022/04/03,1401/01/14
"239,300","239,300","239,300","239,300",3032,1.28%,2022/04/02,1401/01/13
"236,268","236,268","236,268","236,268",1240,0.52%,2022/03/30,1401/01/10
"237,508","237,508","237,508","237,508",1633,0.69%,2022/03/29,1401/01/09
"239,141","239,141","239,141","239,141",109,0.05%,2022/03/28,1401/01/08
"239,250","239,250","239,250","239,250",1402,0.59%,2022/03/27,1401/01/07
"237,848","237,848","237,848","237,848",736,0.31%,2022/03/26,1401/01/06
"237,112","237,112","237,112","237,112",931,0.39%,2022/03/25,1401/01/05
"236,181","236,181","236,181","236,181",1639,0.69%,2022/03/18,1400/12/27
"237,820","237,820","237,820","237,820",539,0.23%,2022/03/16,1400/12/25
"238,359","238,359","238,359","238,359",1078,0.45%,2022/03/15,1400/12/24
"237,281","237,281","237,281","237,281",1270,0.54%,2022/03/14,1400/12/23
"238,551","238,551","238,551","238,551",500,0.21%,2022/03/13,1400/12/22
"238,051","238,051","238,051","238,051",378,0.16%,2022/03/12,1400/12/21
"237,673","237,673","237,673","237,673",2720,1.16%,2022/03/11,1400/12/20
"234,953","234,953","234,953","234,953",3563,1.52%,2022/03/09,1400/12/18
"238,516","238,516","238,516","238,516",2145,0.9%,2022/03/08,1400/12/17
"240,661","240,661","240,661","240,661",643,0.27%,2022/03/07,1400/12/16
"240,018","240,018","240,018","240,018",1413,0.59%,2022/03/06,1400/12/15
"241,431","241,431","241,431","241,431",2049,0.85%,2022/03/05,1400/12/14
"243,480","243,480","243,480","243,480",3916,1.63%,2022/03/04,1400/12/13
"239,564","239,564","239,564","239,564",3,-,2022/03/02,1400/12/11
"239,567","239,567","239,567","239,567",786,0.33%,2022/03/01,1400/12/10
"238,781","238,781","238,781","238,781",532,0.22%,2022/02/27,1400/12/08
"239,313","239,313","239,313","239,313",245,0.1%,2022/02/26,1400/12/07
"239,068","239,068","239,068","239,068",1150,0.48%,2022/02/25,1400/12/06
"237,918","237,918","237,918","237,918",340,0.14%,2022/02/23,1400/12/04
"237,578","237,578","237,578","237,578",1703,0.72%,2022/02/22,1400/12/03
"239,281","239,281","239,281","239,281",1810,0.76%,2022/02/21,1400/12/02
"241,091","241,091","241,091","241,091",110,0.05%,2022/02/20,1400/12/01
"240,981","240,981","240,981","240,981",1008,0.42%,2022/02/19,1400/11/30
"239,973","239,973","239,973","239,973",1150,0.48%,2022/02/18,1400/11/29
"238,823","238,823","238,823","238,823",778,0.33%,2022/02/16,1400/11/27
"239,601","239,601","239,601","239,601",136,0.06%,2022/02/15,1400/11/26
"239,737","239,737","239,737","239,737",919,0.38%,2022/02/13,1400/11/24
"238,818","238,818","238,818","238,818",1771,0.75%,2022/02/12,1400/11/23
"237,047","237,047","237,047","237,047",416,0.18%,2022/02/11,1400/11/22
"236,631","236,631","236,631","236,631",1766,0.75%,2022/02/09,1400/11/20
"238,397","238,397","238,397","238,397",495,0.21%,2022/02/08,1400/11/19
"237,902","237,902","237,902","237,902",557,0.23%,2022/02/07,1400/11/18
"237,345","237,345","237,345","237,345",947,0.4%,2022/02/06,1400/11/17
"236,398","236,398","236,398","236,398",59,0.02%,2022/02/05,1400/11/16
"236,339","236,339","236,339","236,339",2381,1.01%,2022/02/04,1400/11/15
"238,720","238,720","238,720","238,720",558,0.23%,2022/02/02,1400/11/13
"238,162","238,162","238,162","238,162",2211,0.93%,2022/02/01,1400/11/12
"240,373","240,373","240,373","240,373",1163,0.48%,2022/01/31,1400/11/11
"241,536","241,536","241,536","241,536",2275,0.94%,2022/01/30,1400/11/10
"243,811","243,811","243,811","243,811",442,0.18%,2022/01/29,1400/11/09
"243,369","243,369","243,369","243,369",1080,0.44%,2022/01/26,1400/11/06
"244,449","244,449","244,449","244,449",200,0.08%,2022/01/25,1400/11/05
"244,249","243,166","244,249","244,249",1083,0.45%,2022/01/24,1400/11/04
"243,166","243,166","243,166","243,166",444,0.18%,2022/01/23,1400/11/03
"243,610","243,610","243,610","243,610",1851,0.76%,2022/01/22,1400/11/02
"245,461","245,461","245,461","245,461",46,0.02%,2022/01/21,1400/11/01
"245,507","245,507","245,507","245,507",193,0.08%,2022/01/19,1400/10/29
"245,700","245,700","245,700","245,700",830,0.34%,2022/01/18,1400/10/28
"244,870","244,870","244,870","244,870",231,0.09%,2022/01/17,1400/10/27
"244,639","244,639","244,639","244,639",254,0.1%,2022/01/16,1400/10/26
"244,385","244,385","244,385","244,385",769,0.31%,2022/01/15,1400/10/25
"245,154","245,154","245,154","245,154",222,0.09%,2022/01/14,1400/10/24
"244,932","244,932","244,932","244,932",1102,0.45%,2022/01/12,1400/10/22
"246,034","246,034","246,034","246,034",1610,0.65%,2022/01/11,1400/10/21
"247,644","247,644","247,644","247,644",1168,0.47%,2022/01/10,1400/10/20
"246,476","246,476","246,476","246,476",469,0.19%,2022/01/09,1400/10/19
"246,945","246,945","246,945","246,945",93,0.04%,2022/01/08,1400/10/18
"247,038","247,038","247,038","247,038",1173,0.47%,2022/01/07,1400/10/17
"248,211","248,211","248,211","248,211",605,0.24%,2022/01/04,1400/10/14
"247,606","247,606","247,606","247,606",2455,1%,2022/01/03,1400/10/13
"245,151","245,151","245,151","245,151",850,0.35%,2022/01/02,1400/10/12
"244,301","244,301","244,301","244,301",932,0.38%,2022/01/01,1400/10/11
"245,233","245,233","245,233","245,233",604,0.25%,2021/12/31,1400/10/10
"245,837","245,837","245,837","245,837",1826,0.75%,2021/12/29,1400/10/08
"244,011","244,011","244,011","244,011",1339,0.55%,2021/12/28,1400/10/07
"242,672","242,672","242,672","242,672",247,0.1%,2021/12/27,1400/10/06
"242,425","242,425","242,425","242,425",1090,0.45%,2021/12/26,1400/10/05
"241,335","241,335","241,335","241,335",411,0.17%,2021/12/25,1400/10/04
"241,746","241,746","241,746","241,746",143,0.06%,2021/12/24,1400/10/03
"241,603","241,603","241,603","241,603",1013,0.42%,2021/12/22,1400/10/01
"242,616","242,616","242,616","242,616",521,0.21%,2021/12/21,1400/09/30
"243,137","243,137","243,137","243,137",537,0.22%,2021/12/20,1400/09/29
"242,600","242,600","242,600","242,600",658,0.27%,2021/12/19,1400/09/28
"241,942","241,942","241,942","241,942",865,0.36%,2021/12/18,1400/09/27
"241,077","241,077","241,077","241,077",627,0.26%,2021/12/17,1400/09/26
"240,450","240,450","240,450","240,450",625,0.26%,2021/12/15,1400/09/24
"241,075","241,075","241,075","241,075",1055,0.44%,2021/12/14,1400/09/23
"240,020","240,020","240,020","240,020",962,0.4%,2021/12/13,1400/09/22
"239,058","239,058","239,058","239,058",1028,0.43%,2021/12/12,1400/09/21
"238,030","238,030","238,030","238,030",784,0.33%,2021/12/11,1400/09/20
"237,246","237,246","237,246","237,246",181,0.08%,2021/12/10,1400/09/19
"237,065","237,065","237,065","237,065",63,0.03%,2021/12/08,1400/09/17
"237,002","237,002","237,002","237,002",209,0.09%,2021/12/07,1400/09/16
"237,211","237,211","237,211","237,211",2621,1.12%,2021/12/06,1400/09/15
"234,590","234,590","234,590","234,590",642,0.27%,2021/12/05,1400/09/14
"233,948","233,948","233,948","233,948",161,0.07%,2021/12/04,1400/09/13
"234,109","234,109","234,109","234,109",1330,0.57%,2021/12/03,1400/09/12
"232,779","232,779","232,779","232,779",501,0.22%,2021/12/01,1400/09/10
"233,280","233,280","233,280","233,280",735,0.32%,2021/11/30,1400/09/09
"234,015","234,015","234,015","234,015",956,0.41%,2021/11/29,1400/09/08
"233,059","233,059","233,059","233,059",364,0.16%,2021/11/28,1400/09/07
"232,695","232,695","232,695","232,695",437,0.19%,2021/11/27,1400/09/06
"233,132","233,132","264,964","233,132",2738,1.17%,2021/11/26,1400/09/05
"235,870","235,870","235,870","235,870",1642,0.7%,2021/11/24,1400/09/03
"234,228","234,228","234,228","234,228",765,0.33%,2021/11/23,1400/09/02
"234,993","234,993","234,993","234,993",1077,0.46%,2021/11/22,1400/09/01
"233,916","233,916","233,916","233,916",278,0.12%,2021/11/21,1400/08/30
"234,194","234,030","234,194","234,194",164,0.07%,2021/11/20,1400/08/29
"234,030","234,030","234,030","234,030",499,0.21%,2021/11/19,1400/08/28
"234,529","234,529","234,529","234,529",834,0.36%,2021/11/17,1400/08/26
"233,695","233,695","233,695","233,695",1312,0.56%,2021/11/16,1400/08/25
"232,383","232,383","232,383","232,383",93,0.04%,2021/11/15,1400/08/24
"232,290","232,290","232,290","232,290",88,0.04%,2021/11/14,1400/08/23
"232,378","232,378","232,378","232,378",540,0.23%,2021/11/13,1400/08/22
"232,918","232,918","232,918","232,918",1407,0.61%,2021/11/12,1400/08/21
"231,511","231,511","231,511","231,511",1751,0.76%,2021/11/10,1400/08/19
"229,760","229,760","229,760","229,760",58,0.03%,2021/11/09,1400/08/18
"229,818","229,818","229,818","229,818",662,0.29%,2021/11/08,1400/08/17
"230,480","230,480","230,480","230,480",142,0.06%,2021/11/07,1400/08/16
"230,622","230,622","230,622","230,622",690,0.3%,2021/11/06,1400/08/15
"231,312","231,312","231,312","231,312",879,0.38%,2021/11/05,1400/08/14
"230,433","230,433","230,433","230,433",15,0.01%,2021/11/03,1400/08/12
"230,418","230,418","230,418","230,418",83,0.04%,2021/11/02,1400/08/11
"230,335","230,335","230,335","230,335",889,0.39%,2021/11/01,1400/08/10
"231,224","231,224","231,224","231,224",833,0.36%,2021/10/31,1400/08/09
"232,057","232,057","232,057","232,057",225,0.1%,2021/10/30,1400/08/08
"232,282","232,282","232,282","232,282",1182,0.51%,2021/10/29,1400/08/07
"231,100","231,100","231,100","231,100",239,0.1%,2021/10/27,1400/08/05
"231,339","231,339","231,339","231,339",182,0.08%,2021/10/26,1400/08/04
"231,157","231,157","231,157","231,157",387,0.17%,2021/10/25,1400/08/03
"230,770","230,770","230,770","230,770",613,0.27%,2021/10/24,1400/08/02
"231,383","231,383","231,383","231,383",624,0.27%,2021/10/22,1400/07/30
"232,007","232,007","232,007","232,007",20,0.01%,2021/10/20,1400/07/28
"231,987","231,987","231,987","231,987",29,0.01%,2021/10/19,1400/07/27
"231,958","231,958","231,958","231,958",167,0.07%,2021/10/18,1400/07/26
"232,125","232,125","232,125","232,125",515,0.22%,2021/10/17,1400/07/25
"232,640","232,640","232,640","232,640",89,0.04%,2021/10/16,1400/07/24
"232,551","232,551","232,551","232,551",161,0.07%,2021/10/15,1400/07/23
"232,390","232,390","232,390","232,390",1917,0.82%,2021/10/13,1400/07/21
"234,307","234,307","234,307","234,307",848,0.36%,2021/10/12,1400/07/20
"233,459","233,459","233,459","233,459",538,0.23%,2021/10/11,1400/07/19
"232,260","232,260","232,260","232,260",440,0.19%,2021/10/09,1400/07/17
"232,001","232,001","232,001","232,001",61,0.03%,2021/10/05,1400/07/13
"232,062","232,062","232,062","232,062",-,-,2021/10/03,1400/07/11
"231,061","231,061","231,061","231,061",2220,0.96%,2021/10/02,1400/07/10
"233,281","233,281","233,281","233,281",1965,0.85%,2021/10/01,1400/07/09
"231,316","231,316","231,316","231,316",1005,0.44%,2021/09/30,1400/07/08
"230,311","230,311","230,311","230,311",53,0.02%,2021/09/29,1400/07/07
"230,258","230,258","230,258","230,258",339,0.15%,2021/09/25,1400/07/03
"229,066","229,066","229,066","229,066",837,0.37%,2021/09/23,1400/07/01
"229,903","229,903","229,903","229,903",791,0.35%,2021/09/22,1400/06/31
"230,145","229,112","230,145","229,112",749,0.33%,2021/09/19,1400/06/28
"229,861","229,861","229,861","229,861",855,0.37%,2021/09/18,1400/06/27
"230,716","230,716","230,716","230,716",1680,0.73%,2021/09/17,1400/06/26
"229,036","229,036","229,036","229,036",236,0.1%,2021/09/15,1400/06/24
"228,800","228,800","228,800","228,800",260,0.11%,2021/09/14,1400/06/23
"228,540","228,540","228,540","228,540",1148,0.5%,2021/09/13,1400/06/22
"228,965","228,965","231,045","229,688",723,0.32%,2021/09/12,1400/06/21
"231,045","228,965","231,045","228,965",865,0.38%,2021/09/11,1400/06/20
"228,100","228,100","228,100","228,100",380,0.17%,2021/09/06,1400/06/15
"227,720","227,720","227,720","227,720",86,0.04%,2021/09/05,1400/06/14
"227,634","227,634","227,634","227,634",1063,0.47%,2021/09/04,1400/06/13
"228,697","228,697","228,697","228,697",1048,0.46%,2021/09/03,1400/06/12
"227,649","227,649","227,649","227,649",304,0.13%,2021/09/01,1400/06/10
