Open,Close,High,Low,Price,Change%,Date_Gregorian,Date_Persian
"494,622","494,622","494,622","494,622",1507,0.31%,2024/11/10,1403/08/20
"493,115","493,115","493,115","493,115",2875,0.59%,2024/11/09,1403/08/19
"490,240","490,240","490,240","490,240",1120,0.23%,2024/11/08,1403/08/18
"489,120","489,120","489,120","489,120",3,-,2024/11/04,1403/08/14
"489,117","489,117","489,117","489,117",6,-,2024/11/03,1403/08/13
"489,111","489,111","489,111","489,111",5,-,2024/11/02,1403/08/12
"489,106","489,106","489,106","489,106",45,0.01%,2024/11/01,1403/08/11
"489,061","489,061","489,061","489,061",971,0.2%,2024/10/30,1403/08/09
"488,090","488,090","488,090","488,090",1021,0.21%,2024/10/29,1403/08/08
"487,069","487,069","487,069","487,069",775,0.16%,2024/10/28,1403/08/07
"486,294","486,294","486,294","486,294",249,0.05%,2024/10/27,1403/08/06
"486,045","486,045","486,045","486,045",298,0.06%,2024/10/26,1403/08/05
"485,747","485,747","485,747","485,747",427,0.09%,2024/10/23,1403/08/02
"485,320","485,320","485,320","485,320",1398,0.29%,2024/10/22,1403/08/01
"483,922","483,922","483,922","483,922",1407,0.29%,2024/10/21,1403/07/30
"482,515","482,515","482,515","482,515",394,0.08%,2024/10/20,1403/07/29
"482,121","482,121","482,121","482,121",1052,0.22%,2024/10/19,1403/07/28
"481,069","481,069","481,069","481,069",1369,0.29%,2024/10/18,1403/07/27
"479,700","479,700","479,700","479,700",1021,0.21%,2024/10/16,1403/07/25
"478,679","478,679","478,679","478,679",1170,0.25%,2024/10/15,1403/07/24
"477,509","477,509","477,509","477,509",1358,0.29%,2024/10/14,1403/07/23
"476,151","476,151","476,151","476,151",1407,0.3%,2024/10/13,1403/07/22
"474,744","474,744","474,744","474,744",1541,0.33%,2024/10/12,1403/07/21
"473,203","473,203","473,203","473,203",1447,0.31%,2024/10/11,1403/07/20
"471,756","471,756","471,756","471,756",1269,0.27%,2024/10/09,1403/07/18
"470,487","470,487","470,487","470,487",1091,0.23%,2024/10/08,1403/07/17
"469,396","469,396","469,396","469,396",1012,0.22%,2024/10/07,1403/07/16
"468,384","468,384","468,384","468,384",744,0.16%,2024/10/06,1403/07/15
"467,640","467,640","467,640","467,640",419,0.09%,2024/10/05,1403/07/14
"467,221","467,221","467,221","467,221",1420,0.3%,2024/10/04,1403/07/13
"465,801","465,801","465,801","465,801",1339,0.29%,2024/10/02,1403/07/11
"464,462","464,462","464,462","464,462",348,0.07%,2024/10/01,1403/07/10
"464,114","464,114","464,114","464,114",847,0.18%,2024/09/30,1403/07/09
"463,267","463,267","463,267","463,267",1061,0.23%,2024/09/29,1403/07/08
"462,206","462,206","462,206","462,206",246,0.05%,2024/09/28,1403/07/07
"461,960","461,960","461,960","461,960",189,0.04%,2024/09/27,1403/07/06
"461,771","461,771","461,771","461,771",843,0.18%,2024/09/25,1403/07/04
"460,928","460,928","460,928","460,928",893,0.19%,2024/09/24,1403/07/03
"460,035","460,035","460,035","460,035",353,0.08%,2024/09/23,1403/07/02
"460,388","460,388","460,388","460,388",1904,0.42%,2024/09/22,1403/07/01
"458,484","458,484","458,484","458,484",1110,0.24%,2024/09/21,1403/06/31
"457,374","457,374","457,374","457,374",794,0.17%,2024/09/16,1403/06/26
"456,580","456,580","456,580","456,580",1091,0.24%,2024/09/15,1403/06/25
"455,489","455,489","455,489","455,489",1080,0.24%,2024/09/14,1403/06/24
"454,409","454,409","454,409","454,409",692,0.15%,2024/09/10,1403/06/20
"453,717","453,717","453,717","453,717",694,0.15%,2024/09/09,1403/06/19
"453,023","453,023","453,023","453,023",289,0.06%,2024/09/08,1403/06/18
"453,312","453,312","453,312","453,312",496,0.11%,2024/09/07,1403/06/17
"452,816","452,816","452,816","452,816",494,0.11%,2024/09/06,1403/06/16
"452,322","452,322","452,322","452,322",499,0.11%,2024/09/04,1403/06/14
"451,823","451,823","451,823","451,823",791,0.18%,2024/09/02,1403/06/12
"451,032","451,032","451,032","451,032",507,0.11%,2024/08/31,1403/06/10
"450,525","450,525","450,525","450,525",645,0.14%,2024/08/30,1403/06/09
"449,880","449,880","449,880","449,880",505,0.11%,2024/08/28,1403/06/07
"449,375","449,375","449,375","449,375",494,0.11%,2024/08/27,1403/06/06
"448,881","448,881","448,881","448,881",446,0.1%,2024/08/26,1403/06/05
"448,435","448,435","448,435","448,435",355,0.08%,2024/08/23,1403/06/02
"448,080","448,080","448,080","448,080",396,0.09%,2024/08/20,1403/05/30
"448,476","448,476","448,476","448,476",879,0.2%,2024/08/19,1403/05/29
"447,597","447,597","447,597","447,597",718,0.16%,2024/08/18,1403/05/28
"446,879","446,879","446,879","446,879",893,0.2%,2024/08/16,1403/05/26
"445,986","445,986","488,489","445,986",1794,0.4%,2024/08/13,1403/05/23
"444,192","444,192","444,192","444,192",1123,0.25%,2024/08/12,1403/05/22
"443,069","443,069","443,069","443,069",1139,0.26%,2024/08/10,1403/05/20
"441,930","441,930","441,930","441,930",1011,0.23%,2024/08/09,1403/05/19
"440,919","440,919","440,919","440,919",545,0.12%,2024/08/05,1403/05/15
"440,374","440,374","440,374","440,374",831,0.19%,2024/08/03,1403/05/13
"439,543","439,543","439,543","439,543",982,0.22%,2024/08/02,1403/05/12
"438,561","438,561","438,561","438,561",704,0.16%,2024/07/29,1403/05/08
"437,857","437,857","437,857","437,857",853,0.2%,2024/07/28,1403/05/07
"437,004","437,004","437,004","437,004",805,0.18%,2024/07/26,1403/05/05
"436,199","436,199","436,199","436,199",298,0.07%,2024/07/24,1403/05/03
"435,901","435,901","435,901","435,901",1159,0.27%,2024/07/22,1403/05/01
"434,742","434,742","434,742","434,742",674,0.16%,2024/07/21,1403/04/31
"434,068","434,068","434,068","434,068",870,0.2%,2024/07/19,1403/04/29
"433,198","433,198","433,198","433,198",1110,0.26%,2024/07/17,1403/04/27
"432,088","432,088","432,088","432,088",944,0.22%,2024/07/13,1403/04/23
"431,144","431,144","431,144","431,144",942,0.22%,2024/07/12,1403/04/22
"430,202","430,202","430,202","430,202",307,0.07%,2024/07/10,1403/04/20
"429,895","429,895","429,895","429,895",904,0.21%,2024/07/08,1403/04/18
"428,991","428,991","428,991","428,991",382,0.09%,2024/07/07,1403/04/17
"429,373","429,373","429,373","429,373",1200,0.28%,2024/07/06,1403/04/16
"428,173","428,173","428,173","428,173",989,0.23%,2024/07/05,1403/04/15
"427,184","427,184","427,184","427,184",882,0.21%,2024/06/29,1403/04/09
"426,302","426,302","426,302","426,302",645,0.15%,2024/06/28,1403/04/08
"425,657","425,657","425,657","425,657",520,0.12%,2024/06/21,1403/04/01
"425,137","425,137","425,137","425,137",892,0.21%,2024/06/19,1403/03/30
"424,245","424,245","424,245","424,245",930,0.22%,2024/06/17,1403/03/28
"423,315","423,315","423,315","423,315",646,0.15%,2024/06/15,1403/03/26
"422,669","422,669","422,669","422,669",505,0.12%,2024/06/14,1403/03/25
"422,164","422,164","422,164","422,164",824,0.2%,2024/06/11,1403/03/22
"421,340","421,340","421,340","421,340",247,0.06%,2024/06/10,1403/03/21
"421,093","421,093","421,093","421,093",1648,0.39%,2024/06/08,1403/03/19
"419,445","419,445","419,445","419,445",466,0.11%,2024/06/07,1403/03/18
"418,979","418,979","418,979","418,979",902,0.22%,2024/06/05,1403/03/16
"418,077","418,077","418,077","418,077",1,-,2024/06/01,1403/03/12
"418,078","418,078","418,078","418,078",910,0.22%,2024/05/31,1403/03/11
"417,168","417,168","417,168","417,168",520,0.12%,2024/05/28,1403/03/08
"416,648","416,648","416,648","416,648",1277,0.31%,2024/05/27,1403/03/07
"415,371","415,371","415,371","415,371",243,0.06%,2024/05/26,1403/03/06
"415,614","415,614","415,614","415,614",976,0.24%,2024/05/25,1403/03/05
"414,638","414,638","414,638","414,638",536,0.13%,2024/05/19,1403/02/30
"415,174","415,174","415,174","415,174",97,0.02%,2024/05/13,1403/02/24
"415,271","415,271","415,271","415,271",885,0.21%,2024/05/10,1403/02/21
"414,386","414,386","414,386","414,386",1805,0.44%,2024/05/06,1403/02/17
"412,581","412,581","412,581","412,581",1400,0.34%,2024/05/05,1403/02/16
"411,181","411,181","411,181","411,181",1139,0.28%,2024/05/04,1403/02/15
"410,042","410,042","410,042","410,042",1,-,2024/04/29,1403/02/10
"410,043","410,043","410,043","410,043",417,0.1%,2024/04/28,1403/02/09
"410,460","410,460","410,460","410,460",1494,0.37%,2024/04/27,1403/02/08
"408,966","408,966","408,966","408,966",1478,0.36%,2024/04/26,1403/02/07
"407,488","407,488","407,488","407,488",1407,0.35%,2024/04/23,1403/02/04
"406,081","406,081","406,081","406,081",1697,0.42%,2024/04/22,1403/02/03
"404,384","404,384","404,384","404,384",97,0.02%,2024/04/21,1403/02/02
"404,287","404,287","404,287","404,287",1486,0.37%,2024/04/20,1403/02/01
"402,801","402,801","402,801","402,801",23,0.01%,2024/04/19,1403/01/31
"402,824","402,824","402,824","402,824",-,-,2024/04/17,1403/01/29
"402,824","402,824","402,824","402,824",1,-,2024/04/16,1403/01/28
"402,825","402,825","402,825","402,825",1,-,2024/04/08,1403/01/20
"402,826","402,826","402,826","402,826",5,-,2024/04/06,1403/01/18
"402,831","402,831","402,831","402,831",1051,0.26%,2024/04/05,1403/01/17
"401,780","401,780","401,780","401,780",97,0.02%,2024/04/01,1403/01/13
"401,877","401,877","401,877","401,877",951,0.24%,2024/03/17,1402/12/27
"400,926","400,926","400,926","400,926",2,-,2024/03/16,1402/12/26
"400,928","400,928","400,928","400,928",1065,0.27%,2024/03/15,1402/12/25
"399,863","399,863","399,863","399,863",-,-,2024/03/13,1402/12/23
"398,803","398,803","398,803","398,803",608,0.15%,2024/03/11,1402/12/21
"398,195","398,195","398,195","398,195",211,0.05%,2024/03/10,1402/12/20
"397,984","397,984","397,984","397,984",336,0.08%,2024/03/09,1402/12/19
"396,455","396,455","397,648","397,648",2593,0.66%,2024/03/05,1402/12/15
"395,055","395,055","395,055","395,055",-,-,2024/03/03,1402/12/13
"395,056","395,056","395,056","395,056",1,-,2024/03/02,1402/12/12
"395,057","395,057","395,057","395,057",1,-,2024/03/01,1402/12/11
"395,058","395,058","395,058","395,058",5,-,2024/02/27,1402/12/08
"395,053","395,053","395,053","395,053",2,-,2024/02/26,1402/12/07
"395,055","395,055","395,055","395,055",1536,0.39%,2024/02/20,1402/12/01
"393,519","393,519","393,519","393,519",1,-,2024/02/18,1402/11/29
"393,518","393,518","393,518","393,518",1,-,2024/02/13,1402/11/24
"393,519","393,519","393,519","393,519",1858,0.47%,2024/02/12,1402/11/23
"391,661","391,661","391,661","391,661",9,-,2024/02/06,1402/11/17
"391,652","391,652","391,652","391,652",8,-,2024/02/05,1402/11/16
"391,660","391,660","391,660","391,660",1,-,2024/02/03,1402/11/14
"391,661","391,661","391,661","391,661",-,-,2024/01/30,1402/11/10
"391,670","391,670","391,670","391,670",9,-,2024/01/26,1402/11/06
"391,679","391,679","391,679","391,679",1,-,2024/01/21,1402/11/01
"391,680","391,680","391,680","391,680",11,-,2024/01/19,1402/10/29
"391,691","391,691","391,691","391,691",21,0.01%,2024/01/16,1402/10/26
"391,712","391,691","391,712","391,691",24,0.01%,2024/01/15,1402/10/25
"391,715","391,715","391,715","391,715",1,-,2024/01/12,1402/10/22
"391,716","391,716","391,716","391,716",7,-,2024/01/09,1402/10/19
"391,723","391,723","391,723","391,723",51,0.01%,2024/01/08,1402/10/18
"391,774","391,774","391,774","391,774",922,0.24%,2024/01/07,1402/10/17
"390,852","390,852","390,852","390,852",805,0.21%,2024/01/06,1402/10/16
"390,047","390,047","390,047","390,047",882,0.23%,2024/01/05,1402/10/15
"389,165","389,165","389,165","389,165",1008,0.26%,2024/01/02,1402/10/12
"388,157","388,157","388,157","388,157",917,0.24%,2024/01/01,1402/10/11
"387,240","387,240","387,240","387,240",466,0.12%,2023/12/31,1402/10/10
"386,774","386,774","386,774","386,774",14,-,2023/12/30,1402/10/09
"386,788","386,788","386,788","386,788",17,-,2023/12/29,1402/10/08
"386,805","386,805","386,805","386,805",38,0.01%,2023/12/27,1402/10/06
"386,843","386,843","386,843","386,843",77,0.02%,2023/12/26,1402/10/05
"386,920","386,920","386,920","386,920",38,0.01%,2023/12/25,1402/10/04
"386,958","386,958","386,958","386,958",43,0.01%,2023/12/24,1402/10/03
"387,001","387,001","387,001","387,001",60,0.02%,2023/12/23,1402/10/02
"387,061","387,061","387,061","387,061",107,0.03%,2023/12/22,1402/10/01
"386,954","386,954","386,954","386,954",107,0.03%,2023/12/20,1402/09/29
"387,061","387,061","387,061","387,061",1128,0.29%,2023/12/18,1402/09/27
"385,933","385,933","385,933","385,933",228,0.06%,2023/12/17,1402/09/26
"386,161","386,161","386,161","386,161",1184,0.31%,2023/12/15,1402/09/24
"384,977","384,977","384,977","384,977",694,0.18%,2023/12/13,1402/09/22
"384,283","384,283","384,283","384,283",469,0.12%,2023/12/12,1402/09/21
"384,752","384,752","384,752","384,752",827,0.22%,2023/12/11,1402/09/20
"383,925","383,925","383,925","383,925",917,0.24%,2023/12/10,1402/09/19
"383,008","383,008","383,008","383,008",773,0.2%,2023/12/09,1402/09/18
"382,235","382,235","382,235","382,235",704,0.18%,2023/12/08,1402/09/17
"381,531","381,531","381,531","381,531",966,0.25%,2023/12/06,1402/09/15
"380,565","380,565","380,565","380,565",139,0.04%,2023/12/05,1402/09/14
"380,704","380,704","380,704","380,704",813,0.21%,2023/12/04,1402/09/13
"379,891","379,891","379,891","379,891",806,0.21%,2023/12/03,1402/09/12
"379,085","379,085","379,085","379,085",857,0.23%,2023/12/02,1402/09/11
"378,228","378,228","378,228","378,228",54,0.01%,2023/12/01,1402/09/10
"378,282","378,282","378,282","378,282",264,0.07%,2023/11/29,1402/09/08
"378,018","378,018","378,018","378,018",752,0.2%,2023/11/28,1402/09/07
"376,635","376,635","377,266","377,266",631,0.17%,2023/11/26,1402/09/05
"376,792","376,792","376,792","376,792",414,0.11%,2023/11/25,1402/09/04
"376,378","376,378","376,378","376,378",494,0.13%,2023/11/24,1402/09/03
"375,884","375,884","375,884","375,884",100,0.03%,2023/11/22,1402/09/01
"375,984","375,984","375,984","375,984",503,0.13%,2023/11/21,1402/08/30
"375,481","375,481","375,481","375,481",684,0.18%,2023/11/20,1402/08/29
"374,797","374,797","374,797","374,797",100,0.03%,2023/11/19,1402/08/28
"374,897","374,897","374,897","374,897",475,0.13%,2023/11/18,1402/08/27
"374,422","374,422","374,422","374,422",398,0.11%,2023/11/17,1402/08/26
"374,024","374,024","374,024","374,024",106,0.03%,2023/11/15,1402/08/24
"373,918","373,918","373,918","373,918",317,0.08%,2023/11/14,1402/08/23
"373,601","373,601","373,601","373,601",225,0.06%,2023/11/13,1402/08/22
